Question,Answer,category,link
What does BSRM stand for?,Bangladesh Steel Re-Rolling Mills,Company Overview,
Why should buy from BSRM,"Bangladesh Steel Re-Rolling Mills (BSRM) is Bangladesh’s leading steel manufacturer. BSRM Xtreme revolutionized Bangladesh’s steel industry as the first graded steel, passing 5 million cyclic loading fatigue tests in the UK and conforming to 10 global standards. The company also developed Bangladesh’s first 50mm rod for deep piling in the Padma Bridge.",Company Overview,https://bsrm.com/about-us/
About BSRM,"Bangladesh Steel Re-Rolling Mills (BSRM) is Bangladesh leading steel manufacturer. BSRM Xtreme revolutionized Bangladesh steel industry as the first graded steel, passing 5 million cyclic loading fatigue tests in the UK and conforming to 10 global standards. The company also developed Bangladesh first 50mm rod for deep piling in the Padma Bridge.",Company Overview,https://bsrm.com/about-us/
Key infrastructure projects,The major projects include: >Padma Bridge >Rooppur Nuclear Power Plant > Hatirjheel Project > Zillur Rahman Flyover > Mayor Hanif Flyover > Shah Amanat Bridge,Key infrastructure projects,https://bsrm.com/landmark-projects/
What is the total asset value of BSRM?,"BSRM's total assets are valued at Tk 18,086 Crore.",,
What was BSRM’s sales revenue in the most recent fiscal year?,"he sales revenue was Tk 19,958 Crore.",,
What is the sales volume of BSRM ,1.78 million metric tons (MT),,
What is BSRM’s production capacity?,> Melting capacity: 2.0 million MT per year > Rolling capacity: 1.6 million MT per year,,
What are BSRM’s logistics capacities via seaport and land port?,"Seaport capacity: 1.6 million MT per year,Land port capacity: 0.12 million MT per year",,
"How extensive is BSRM network in terms of regions, sales offices, warehouses, and dealers?","regions: 26, Sales offices: 19, Warehouses: 13, Dealers: Over 650",,
About BSRM Wires,"BSRM expanded its business by establishing a wire manufacturing unit, BSRM Wires, in Mirsharai,  Chattogram. The facility has an annual production capacity of 65,000 tons. The plant features state-of-the-art facilities and testing labs to meet international standards.",Wires,https://bsrmwires.com/
BSRM Wires Product Line,>Galvanized Wire >ACSR Core Wire >LRPC >MIG Wire >Welding Electrodes,,https://bsrmwires.com/
What are the BSRM Vision,"> Lead the Steel Industry Delivering high-quality steel, enhancing customer satisfaction, and fostering strong partnerships.
> Be the Employer of Choice Developing future leaders and nurturing talent.
> Ensure Sustainable Growth Maximizing long-term shareholder value and financial stability.
> Uphold Ethical Practices Maintaining transparency, integrity, and governance.
> Support Society Contributing to social welfare, education, and sustainability through CSR initiatives.",Vision,https://bsrm.com/vision-values/
BSRM Values,"> Sustainable Growth
> Quality
> Reliability
> Trust
> Leadership
> Social Responsibility
> Customer Satisfaction",Values,https://bsrm.com/vision-values/
Board of Directors,"The 5 Directors of BSRM
1.Alihussain Akberali (FCA) - Chairman
2.Aameir Alihussain Managing - Director
3.Zohair Taherali Finance - Director
4.Tehseen Zohair Taherali - Director
5.Sabeen Aameir - Director",Directors,https://bsrm.com/board-of-directors/
